#Sprite order: 
#pink	->	blue	->	green	->	white

#	topleft	->	topmid	->	topright	->
#	midleft	->	center	->	midright	->
#	botleft	->	botmid	->	botright	

#id	left	top	right	bottom	texture_id
[SPRITES]
#pink
100001	919	137	934	152	40
100002	936	137	951	152	40
100003	953	137	968	152	40

100004	919	154	934	169	40
100005	936	154	951	169	40
100006	953	154	968	169	40

100007	919	171	934	186	40
100008	936	171	951	186	40
100009	953	171	968	186	40


#blue
100101	970	137	985	152	40
100102	987	137	1002	152	40
100103	1004	137	1009	152	40

100104	970	154	985	169	40
100105	987	154	1002	169	40
100106	1004	154	1009	169	40

100107	970	171	985	186	40
100108	987	171	1002	186	40
100109	1004	171	1009	186	40

#green
100201	919	188	934	203	40
100202	936	188	951	203	40
100203	953	188	968	203	40

100204	919	205	934	220	40
100205	936	205	951	220	40
100206	953	205	968	220	40

100207	919	222	934	237	40
100208	936	222	951	237	40
100209	953	222	968	237	40


#white
100301	970	188	985	203	40
100302	987	188	1002	203	40
100303	1004	188	1009	203	40

100304	970	205	985	220	40
100305	987	205	1002	220	40
100306	1004	205	1009	220	40

100307	970	222	985	237	40
100308	987	222	1002	237	40
100309	1004	222	1009	237	40


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]


