[SETTINGS]
start	5
width	320
height	240

#id	type	file
# type: 0: intro, 1: play scene 
[SCENES]
0	intro.txt
1	scene_title.txt
2	scene_map.txt
5	scene_main.txt
6	scene_secret.txt

# id	file 
[TEXTURES]
-100	textures\bbox.png
0	textures\mario.png
10	textures\enemies.png

20	textures\misc.png
21	textures\misc_flip.png
22	textures\tanuki_leaf.png
23	textures\tanuki_leaf_flip.png

30	textures\world.png
31	textures\world_flip.png
40	textures\world_2.png

50	textures\enemies_2.png
60	textures\enemies_2_flip.png
70	textures\enemies_flip.png

80	textures\title.png
90	textures\map.png
